"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Coris caudimacula",0.1,"LAG",0,5,"BAY_LAG","indval","bin"
"Coris dorsomacula",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Decapterus macarellus",0.156,"LAG",0,20,"BAY_LAG","indval","bin"
"Diagramma pictum",0.067,"BAY",0,7.5,"BAY_LAG","indval","bin"
"Echeneis naucrates",0.156,"BAY",0,20,"BAY_LAG","indval","bin"
"Elops hawaiensis",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Epinephelus areolatus",0.1,"BAY",0,5,"BAY_LAG","indval","bin"
"Epinephelus malabaricus",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Galeocerdo cuvier",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Gnathanodon speciosus",0.1,"BAY",0,5,"BAY_LAG","indval","bin"
"Halichoeres trimaculatus",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Himantura fai",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Lagocephalus sceleratus",0.188,"BAY",0,32.5,"BAY_LAG","indval","bin"
"Leiognathus fasciatus",0.2,"BAY",0,10,"BAY_LAG","indval","bin"
"Lethrinus genivittatus",0.482,"LAG",0,75,"BAY_LAG","indval","bin"
"Lethrinus obsoletus",0.497,"BAY",1,42.5,"BAY_LAG","indval","bin"
"Lethrinus olivaceus",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Lethrinus rubrioperculatus",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Lutjanus lutjanus",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Lutjanus vitta",0.15,"BAY",0,7.5,"BAY_LAG","indval","bin"
"Nemipterus peronii",0.463,"LAG",0,87.5,"BAY_LAG","indval","bin"
"Oplopomus oplopomus",0.1,"LAG",0,5,"BAY_LAG","indval","bin"
"Oxycheilinus bimaculatus",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Parapercis clathrata",0.1,"BAY",0,5,"BAY_LAG","indval","bin"
"Parapercis xanthozona",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Parupeneus heptacanthus",0.133,"LAG",0,15,"BAY_LAG","indval","bin"
"Pentapodus caninus",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Pentapodus nagasakiensis",0.6,"LAG",1,30,"BAY_LAG","indval","bin"
"Pristotis obtusirostris",0.1,"LAG",0,5,"BAY_LAG","indval","bin"
"Pseudalutarius nasicornis",0.45,"LAG",1,22.5,"BAY_LAG","indval","bin"
"Pseudocaranx dentex",0.112,"LAG",0,10,"BAY_LAG","indval","bin"
"Rhynchobatus Djiddensis",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Scomberomorus commerson",0.225,"LAG",0,20,"BAY_LAG","indval","bin"
"Sphyrna mokarran",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Synodus dermatogenys",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Synodus variegatus",0.229,"LAG",0,35,"BAY_LAG","indval","bin"
"Taeniura meyeni",0.05,"LAG",0,2.5,"BAY_LAG","indval","bin"
"Thalassoma lunare",0.05,"BAY",0,2.5,"BAY_LAG","indval","bin"
"Upeneus moluccensis",0.3,"LAG",1,15,"BAY_LAG","indval","bin"
