"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data"
"Scarus psittacus",0.3,"OFFSHORE",1,10,"INSHORE_OFFSHORE","indval","maxN"
"Scomberomorus commerson",0.12,"INSHORE",0,18.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Stethojulis interrupta",0.4,"OFFSHORE",1,13.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Sufflamen chrysopterum",0.35,"OFFSHORE",1,11.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Synodus variegatus",0.35,"INSHORE",1,23.3333333333333,"INSHORE_OFFSHORE","indval","maxN"
"Thalassoma lunare",0.742,"OFFSHORE",1,26.6666666666667,"INSHORE_OFFSHORE","indval","maxN"
"Upeneus moluccensis",0.15,"INSHORE",0,10,"INSHORE_OFFSHORE","indval","maxN"
"Upeneus sundaicus",0.219,"OFFSHORE",0,20,"INSHORE_OFFSHORE","indval","maxN"
"Abalistes stellatus",9.583,"BAR",1,15,"BAR_BAY","bininter","pres/abs"
"Amblygobius phalaena",0,"BAR",0,15,"BAR_BAY","bininter","pres/abs"
"Atule mate",1.375,"BAY",0,30,"BAR_BAY","bininter","pres/abs"
"Centropyge tibicen",0,"BAR",0,10,"BAR_BAY","bininter","pres/abs"
"Chaetodon auriga",0,"BAR",0,15,"BAR_BAY","bininter","pres/abs"
"Chaetodon kleinii",0,"BAR",0,12.5,"BAR_BAY","bininter","pres/abs"
"Chromis viridis",0,"BAR",0,12.5,"BAR_BAY","bininter","pres/abs"
"Coris dorsomacula",0,"BAR",0,12.5,"BAR_BAY","bininter","pres/abs"
"Dascyllus aruanus",0,"BAR",0,17.5,"BAR_BAY","bininter","pres/abs"
"Diagramma pictum",0,"BAR",0,10,"BAR_BAY","bininter","pres/abs"
